,Brand,Model,Make_Year,Price,Location,Distance travelled in km,EMI per month,Fuel type,owner
167,Tata,PUNCH ,2022,₹7.91L,"Raj Nagar Extension, Ghaziabad",450,"15,464",P,1
168,Maruti,Alto ,2019,₹3.16L,"Rohini, New Delhi","60,452","6,178",P,1
169,Honda,Amaze ,2022,₹6.95L,"Rohini, New Delhi","15,935","13,587",P,1
170,Tata,Tiago ,2022,₹6.84L,"Golf Course Ext., Gurugram","22,874","13,367",C,1
171,Honda,City ,2017,₹8.08L,"Golf Course Ext., Gurugram","74,671","15,380",P,1
172,KIA,CARENS ,2022,₹16.20L,"Golf Course Ext., Gurugram","34,694","30,835",D,1
173,Tata,NEXON ,2020,₹7.21L,"Rohini, New Delhi","59,866","14,092",D,1
174,Hyundai,Verna ,2020,₹9.25L,Faridabad,"60,592","17,607",D,1
175,Tata,NEXON ,2023,₹8.81L,Ghaziabad,"10,555","16,768",P,1
176,MG,HECTOR ,2022,₹15.98L,"Rohini, New Delhi","26,999","30,416",P,1
177,Hyundai,Verna ,2020,₹9.88L,Noida,"48,995","18,806",D,1
178,Tata,Tiago ,2023,₹5.23L,"Golf Course Ext., Gurugram","6,676","10,234",P,1
179,Hyundai,NEW SANTRO ,2020,₹5.04L,Noida,"62,996","9,845",C,1
180,Tata,NEXON ,2023,₹8.81L,Ghaziabad,"10,555","16,768",P,1
181,Mahindra,Thar ,2020,₹11.93L,Delhi,"11,003","22,708",D,1
182,Tata,Harrier ,2022,₹14.41L,"Golf Course Ext., Gurugram","27,990","27,428",D,1
183,Ford,Ecosport ,2019,₹7.66L,"Rohini, New Delhi","58,503","14,977",P,1
184,Ford,Ecosport ,2021,₹8.87L,Noida,"23,480","16,883",D,1
185,Hyundai,Verna ,2020,₹9.88L,Noida,"48,995","18,806",D,1
186,Hyundai,Verna ,2020,₹9.25L,Faridabad,"60,592","17,607",D,1
187,Honda,City ,2017,₹8.08L,"Golf Course Ext., Gurugram","74,671","15,380",P,1
188,Honda,Amaze ,2022,₹6.95L,"Rohini, New Delhi","15,935","13,587",P,1
189,Tata,Tiago ,2022,₹6.84L,"Golf Course Ext., Gurugram","22,874","13,367",C,1
190,Maruti,Alto ,2022,₹3.93L,"Raj Nagar Extension, Ghaziabad","27,017","7,675",P,1
191,Maruti,Celerio ,2016,₹3.94L,Noida,"32,928","7,708",P,1
192,MG,HECTOR ,2022,₹15.98L,"Rohini, New Delhi","26,999","30,416",P,1
193,Tata,Tiago ,2023,₹5.23L,"Golf Course Ext., Gurugram","6,676","10,234",P,1
194,Tata,NEXON ,2020,₹7.21L,"Rohini, New Delhi","59,866","14,092",D,1
195,Tata,PUNCH ,2022,₹7.91L,"Raj Nagar Extension, Ghaziabad",450,"15,464",P,1
196,Maruti,Ciaz ,2017,₹6.01L,"Raj Nagar Extension, Ghaziabad","92,389","11,750",P,1
197,Maruti,Alto ,2019,₹3.16L,"Rohini, New Delhi","60,452","6,178",P,1
198,Maruti,Ciaz ,2018,₹7.18L,Noida,"76,156","14,029",P,1
199,Hyundai,Grand i10 ,2016,₹4.10L,"Golf Course Ext., Gurugram","89,071","8,020",P,1
200,Maruti,Baleno ,2018,₹5.42L,Lucknow,"68,917","10,597",P,2
201,Maruti,Swift ,2020,₹6.50L,Lucknow,"72,424","12,711",P,1
202,Hyundai,Creta ,2017,₹7.92L,Lucknow,"63,693","15,478",P,1
203,Hyundai,NEW SANTRO ,2019,₹3.85L,Lucknow,"53,723","7,529",P,1
204,Hyundai,Grand i10 ,2018,₹4.68L,Lucknow,"21,190","9,150",P,1
205,Honda,Amaze ,2022,₹7.59L,Lucknow,"52,094","14,839",P,1
206,Hyundai,NEW SANTRO ,2019,₹3.85L,Lucknow,"58,578","7,529",P,1
